Name,Collection,Category,Color Name,Color ID,LRV,h,R,G,B,HEX
212-C3,,,Svelte Sage,SW6164,,,178,172,150,B2AC96
212-C5,,,Connected Gray,SW6165,,,137,132,115,898473
212-C6,,,Eclipse,SW6166,,,107,103,87,6B6757
212-C7,,,Garden Gate,SW6167,,,94,89,73,5E5949
258-C6,,,Moderne White,SW6168,,,226,224,215,E2E0D7
211-C1,,,Sedate Gray,SW6169,,,209,205,191,D1CDBF
211-C2,,,Techno Gray,SW6170,,,191,185,170,BFB9AA
211-C3,,,Chatroom,SW6171,,,176,171,156,B0AB9C
211-C5,,,Hardware,SW6172,,,139,131,114,8B8372
211-C6,,,Cocoon,SW6173,,,114,107,91,726B5B
278-C6,,,Andiron,SW6174,,,66,64,54,424036
270-C4,,,Sagey,SW6175,,,226,226,209,E2E2D1
213-C1,,,Liveable Green,SW6176,,,206,206,189,CECEBD
213-C2,,,Softened Green,SW6177,,,187,188,167,BBBCA7
213-C3,,,Clary Sage,SW6178,,,172,173,151,ACAD97
213-C5,,,Artichoke,SW6179,,,127,130,102,7F8266
213-C6,,,Oakmoss,SW6180,,,101,104,76,65684C
213-C7,,,Secret Garden,SW6181,,,79,82,58,4F523A
258-C5,,,Ethereal White,SW6182,,,227,226,217,E3E2D9
215-C1,,,Conservative Gray,SW6183,,,209,208,198,D1D0C6
215-C2,,,Austere Gray,SW6184,,,190,191,178,BEBFB2
215-C3,,,Escape Gray,SW6185,,,171,172,159,ABAC9F
215-C5,,,Dried Thyme,SW6186,,,123,128,112,7B8070
215-C6,,,Rosemary,SW6187,,,100,105,92,64695C
215-C7,,,Shade?Grown,SW6188,,,78,81,71,4E5147
271-C2,,,Opaline,SW6189,,,220,223,215,DCDFD7
214-C1,,,Filmy Green,SW6190,,,209,211,199,D1D3C7
214-C2,,,Contented,SW6191,,,189,192,179,BDC0B3
214-C3,,,Coastal Plain,SW6192,,,159,166,148,9FA694
214-C5,,,Privilege Green,SW6193,,,122,135,117,7A8775
214-C6,,,Basil,SW6194,,,98,110,96,626E60
214-C7,,,Rock Garden,SW6195,,,70,84,72,465448
258-C4,,,Frosty White,SW6196,,,221,221,214,DDDDD6
216-C1,,,Aloof Gray,SW6197,,,201,201,192,C9C9C0
216-C2,,,Sensible Hue,SW6198,,,182,181,171,B6B5AB
216-C3,,,Rare Gray,SW6199,,,166,166,155,A6A69B
216-C5,,,Link Gray,SW6200,,,127,126,114,7F7E72
216-C6,,,Thunderous,SW6201,,,109,108,98,6D6C62
216-C7,,,Cast Iron,SW6202,,,100,100,90,64645A
258-C1,,,Spare White,SW6203,,,228,228,221,E4E4DD
217-C1,,,Sea Salt,SW6204,,,205,210,202,CDD2CA
217-C2,,,Comfort Gray,SW6205,,,190,195,187,BEC3BB
217-C3,,,Oyster Bay,SW6206,,,174,179,169,AEB3A9
217-C5,,,Retreat,SW6207,,,122,128,118,7A8076
217-C6,,,Pewter Green,SW6208,,,94,98,89,5E6259
217-C7,,,Ripe Olive,SW6209,,,68,72,61,44483D
271-C3,,,Window Pane,SW6210,,,215,223,216,D7DFD8
218-C1,,,Rainwashed,SW6211,,,194,205,197,C2CDC5
218-C2,,,Quietude,SW6212,,,173,187,178,ADBBB2
218-C3,,,Halcyon Green,SW6213,,,155,170,162,9BAAA2
218-C5,,,Underseas,SW6214,,,124,142,135,7C8E87
218-C6,,,Rocky River,SW6215,,,94,112,106,5E706A
218-C7,,,Jasper,SW6216,,,52,59,54,343B36
272-C3,,,Topsail,SW6217,,,218,226,224,DAE2E0
219-C1,,,Tradewind,SW6218,,,194,207,207,C2CFCF
219-C2,,,Rain,SW6219,,,171,190,191,ABBEBF
219-C3,,,Interesting Aqua,SW6220,,,155,175,178,9BAFB2
219-C5,,,Moody Blue,SW6221,,,122,145,146,7A9192
219-C6,,,Riverway,SW6222,,,93,114,116,5D7274
219-C7,,,Still Water,SW6223,,,74,93,95,4A5D5F
273-C1,,,Mountain Air,SW6224,,,216,224,223,D8E0DF
220-C1,,,Sleepy Blue,SW6225,,,188,203,206,BCCBCE
220-C2,,,Languid Blue,SW6226,,,164,183,189,A4B7BD
220-C3,,,Meditative,SW6227,,,150,170,176,96AAB0
220-C5,,,Refuge,SW6228,,,96,125,132,607D84
220-C6,,,Tempe Star,SW6229,,,71,98,106,47626A
220-C7,,,Rainstorm,SW6230,,,36,70,83,244653
257-C6,,,Rock Candy,SW6231,,,222,225,223,DEE1DF
222-C1,,,Misty,SW6232,,,205,210,210,CDD2D2
222-C2,,,Samovar Silver,SW6233,,,184,190,190,B8BEBE
222-C3,,,Uncertain Gray,SW6234,,,169,176,177,A9B0B1
222-C5,,,Foggy Day,SW6235,,,114,124,127,727C7F
222-C6,,,Grays Harbor,SW6236,,,89,99,104,596368
222-C7,,,Dark Night,SW6237,,,35,56,63,23383F
273-C3,,,Icicle,SW6238,,,219,223,224,DBDFE0
224-C1,,,Upward,SW6239,,,191,201,208,BFC9D0
224-C2,,,Windy Blue,SW6240,,,170,186,198,AABAC6
224-C3,,,Aleutian,SW6241,,,152,169,183,98A9B7
224-C5,,,Bracing Blue,SW6242,,,118,139,154,768B9A
224-C6,,,Distance,SW6243,,,93,111,127,5D6F7F
253-C6,,,Naval,SW6244,,,47,61,76,2F3D4C
273-C2,,,Quicksilver,SW6245,,,221,226,224,DDE2E0
225-C1,,,North Star,SW6246,,,202,208,210,CAD0D2
225-C2,,,Krypton,SW6247,,,184,192,195,B8C0C3
225-C3,,,Jubilee,SW6248,,,173,181,185,ADB5B9
225-C5,,,Storm Cloud,SW6249,,,122,132,141,7A848D
225-C6,,,Granite Peak,SW6250,,,96,107,117,606B75
225-C7,,,Outerspace,SW6251,,,88,97,104,586168
257-C3,,,Ice Cube,SW6252,,,227,228,225,E3E4E1
234-C1,,,Olympus White,SW6253,,,212,216,215,D4D8D7
234-C2,,,Lazy Gray,SW6254,,,190,193,195,BEC1C3
234-C3,,,Morning Fog,SW6255,,,168,174,177,A8AEB1
234-C5,,,Serious Gray,SW6256,,,125,132,139,7D848B
234-C6,,,Gibraltar,SW6257,,,98,105,112,626970
251-C1,,,Tricorn Black,SW6258,,,47,47,48,2F2F30
273-C6,,,Spatial White,SW6259,,,221,220,219,DDDCDB
228-C1,,,Unique Gray,SW6260,,,203,201,201,CBC9C9
228-C2,,,Swanky Gray,SW6261,,,181,177,181,B5B1B5
228-C3,,,Mysterious Mauve,SW6262,,,166,163,169,A6A3A9
228-C5,,,Exclusive Plum,SW6263,,,115,111,120,736F78
228-C6,,,Midnight,SW6264,,,93,89,98,5D5962
228-C7,,,Quixotic Plum,SW6265,,,74,70,83,4A4653
229-C1,,,Sensitive Tint,SW6267,,,206,201,204,CEC9CC
229-C2,,,Veiled Violet,SW6268,,,189,181,185,BDB5B9
229-C3,,,Beguiling Mauve,SW6269,,,175,167,172,AFA7AC
229-C5,,,Soulmate,SW6270,,,133,119,123,85777B
229-C6,,,Expressive Plum,SW6271,,,105,92,98,695C62
229-C7,,,Plum Brown,SW6272,,,78,66,71,4E4247
226-C1,,,Destiny,SW6274,,,207,201,200,CFC9C8
226-C2,,,Fashionable Gray,SW6275,,,189,184,184,BDB8B8
226-C3,,,Mystical Shade,SW6276,,,174,169,170,AEA9AA
226-C5,,,Special Gray,SW6277,,,123,120,125,7B787D
226-C6,,,Cloak Gray,SW6278,,,96,94,99,605E63
252-C7,,,Black Swan,SW6279,,,58,55,62,3A373E
190-C1,,,Wallflower,SW6281,,,219,207,212,DBCFD4
190-C2,,,Mauve Finery,SW6282,,,203,184,192,CBB8C0
190-C3,,,Thistle,SW6283,,,170,142,154,AA8E9A
190-C5,,,Plum Dandy,SW6284,,,139,104,120,8B6878
190-C6,,,Grape Harvest,SW6285,,,126,90,109,7E5A6D
190-C7,,,Mature Grape,SW6286,,,95,63,84,5F3F54
109-C1,,,Rosebud,SW6288,,,224,205,209,E0CDD1
109-C2,,,Delightful,SW6289,,,210,182,190,D2B6BE
109-C3,,,Ros,SW6290,,,185,149,161,B995A1
109-C4,,,Moss Rose,SW6291,,,158,109,121,9E6D79
109-C5,,,Berry Bush,SW6292,,,141,88,105,8D5869
109-C6,,,Fabulous Grape,SW6293,,,109,52,79,6D344F
110-C1,,,Demure,SW6295,,,232,212,213,E8D4D5
110-C2,,,Fading Rose,SW6296,,,218,189,193,DABDC1
110-C3,,,Rose Embroidery,SW6297,,,199,158,162,C79EA2
110-C5,,,Concerto,SW6298,,,158,107,117,9E6B75
110-C6,,,Aged Wine,SW6299,,,137,84,96,895460
110-C7,,,Burgundy,SW6300,,,99,51,62,63333E
111-C1,,,Innocence,SW6302,,,235,209,207,EBD1CF
111-C2,,,Rose Colored,SW6303,,,220,182,181,DCB6B5
111-C3,,,Pressed Flower,SW6304,,,195,147,147,C39393
111-C5,,,Rambling Rose,SW6305,,,153,93,98,995D62
111-C6,,,Cordial,SW6306,,,134,76,82,864C52
111-C7,,,Fine Wine,SW6307,,,114,57,65,723941
112-C1,,,Charming Pink,SW6309,,,237,211,210,EDD3D2
112-C2,,,Lotus Flower,SW6310,,,230,189,189,E6BDBD
112-C3,,,Memorable Rose,SW6311,,,207,138,141,CF8A8D
112-C5,,,Redbud,SW6312,,,173,94,101,AD5E65
112-C6,,,Kirsch Red,SW6313,,,151,73,83,974953
112-C7,,,Luxurious Red,SW6314,,,134,58,66,863A42
113-C1,,,Rosy Outlook,SW6316,,,235,206,203,EBCECB
113-C2,,,Gracious Rose,SW6317,,,227,183,177,E3B7B1
113-C3,,,Resounding Rose,SW6318,,,205,142,137,CD8E89
113-C5,,,Reddish,SW6319,,,181,105,102,B56966
113-C6,,,Bravado Red,SW6320,,,160,82,78,A0524E
113-C7,,,Red Bay,SW6321,,,142,55,56,8E3738
268-C6,,,Intimate White,SW6322,,,240,225,216,F0E1D8
114-C1,,,Romance,SW6323,,,235,207,195,EBCFC3
114-C2,,,Mellow Coral,SW6324,,,227,181,168,E3B5A8
114-C3,,,Constant Coral,SW6325,,,205,142,127,CD8E7F
114-C5,,,Henna Shade,SW6326,,,179,103,93,B3675D
114-C6,,,Bold Brick,SW6327,,,160,88,79,A0584F
114-C7,,,Fireweed,SW6328,,,123,55,48,7B3730
268-C5,,,Faint Coral,SW6329,,,238,222,213,EEDED5
115-C1,,,Quaint Peche,SW6330,,,234,205,193,EACDC1
115-C2,,,Smoky Salmon,SW6331,,,226,182,167,E2B6A7
115-C3,,,Coral Island,SW6332,,,206,147,130,CE9382
115-C5,,,Foxy,SW6333,,,168,94,83,A85E53
115-C6,,,Flower Pot,SW6334,,,143,68,56,8F4438
115-C7,,,Fired Brick,SW6335,,,131,56,42,83382A
268-C4,,,Nearly Peach,SW6336,,,239,222,209,EFDED1
124-C1,,,Spun Sugar,SW6337,,,237,210,192,EDD2C0
124-C2,,,Warming Peach,SW6338,,,228,185,162,E4B9A2
124-C3,,,Persimmon,SW6339,,,217,152,124,D9987C
124-C5,,,Baked Clay,SW6340,,,193,120,92,C1785C
124-C6,,,Red Cent,SW6341,,,173,101,76,AD654C
124-C7,,,Spicy Hue,SW6342,,,153,75,53,994B35
287-C1,,,Alluring White,SW6343,,,239,225,210,EFE1D2
125-C1,,,Peach Fuzz,SW6344,,,236,207,187,ECCFBB
125-C2,,,Sumptuous Peach,SW6345,,,229,185,155,E5B99B
125-C3,,,Fame Orange,SW6346,,,219,156,123,DB9C7B
125-C4,,,Chrysanthemum,SW6347,,,196,123,91,C47B5B
125-C5,,,Reynard,SW6348,,,180,104,72,B46848
125-C6,,,Pennywise,SW6349,,,162,88,58,A2583A
265-C4,,,Intricate Ivory,SW6350,,,237,221,202,EDDDCA
126-C1,,,Sweet Orange,SW6351,,,235,204,179,EBCCB3
126-C2,,,Soft Apricot,SW6352,,,224,179,146,E0B392
126-C4,,,Chivalry Copper,SW6353,,,212,150,110,D4966E
126-C5,,,Armagnac,SW6354,,,195,128,88,C38058
126-C6,,,Truepenny,SW6355,,,180,108,66,B46C42
126-C7,,,Copper Mountain,SW6356,,,166,97,60,A6613C
265-C5,,,Choice Cream,SW6357,,,240,225,208,F0E1D0
127-C1,,,Creamery,SW6358,,,237,208,182,EDD0B6
127-C2,,,Sociable,SW6359,,,232,190,155,E8BE9B
127-C4,,,Folksy Gold,SW6360,,,214,153,105,D69969
127-C5,,,Autumnal,SW6361,,,205,140,93,CD8C5D
127-C6,,,Tigereye,SW6362,,,187,119,72,BB7748
127-C7,,,Gingery,SW6363,,,176,108,62,B06C3E
264-C2,,,Eggwhite,SW6364,,,243,229,210,F3E5D2
128-C1,,,Cachet Cream,SW6365,,,243,217,186,F3D9BA
128-C2,,,Ambitious Amber,SW6366,,,240,203,151,F0CB97
128-C3,,,Viva Gold,SW6367,,,227,172,114,E3AC72
128-C4,,,Bakelite Gold,SW6368,,,215,153,93,D7995D
128-C5,,,Tassel,SW6369,,,198,136,74,C6884A
128-C6,,,Saucy Gold,SW6370,,,182,116,59,B6743B
262-C6,,,Vanillin,SW6371,,,242,227,202,F2E3CA
129-C1,,,Inviting Ivory,SW6372,,,242,213,176,F2D5B0
129-C2,,,Harvester,SW6373,,,237,195,142,EDC38E
